customer_id,first_name,last_name,phone_number,building_number,street,city,home_state,zip_code
7032566988,Nettle,Harkness,4152804613,816,Huxley,San Francisco,CA,29154
7532926054,Mohammed,Chatband,7178402095,59014,Anzinger,Harrisburg,PA,3072
7936123259,Jodi,Cossor,9154856227,486,Golden Leaf,El Paso,TX,64758
7420162354,Melanie,Furber,6267078121,4,Sugar,Pasadena,CA,64407
7038151539,Hilary,Kochlin,5185841712,7741,Dawn,Albany,NY,68228
7933119355,Harrie,MacMechan,9857541770,65,Waubesa,New Orleans,LA,17533
7330238736,Bartolomeo,Ramsdell,6026841019,552,Namekagon,Phoenix,AZ,26923
7946915161,Owen,Furtado,6144413963,14,Grover,Columbus,OH,6063
7753115477,Laurella,Baythrop,4406031562,07661,Delaware,Cleveland,OH,17029
7160079564,Tracie,Fidge,5139316670,09385,Heath,Cincinnati,OH,48367
7688930538,Neda,Fallon,7577372677,93,Warner,Newport News,VA,18221
7666206296,Margaux,Chavrin,4053259641,898,Di Loreto,Oklahoma City,OK,26240
7975201436,Garnet,Tregenza,5708436900,0699,Ronald Regan,Scranton,PA,21848
7227690557,Sheilah,Corstan,9157297856,6352,Stuart,El Paso,TX,13746
7811245593,Ileana,Dedman,6104807434,858,Village,Philadelphia,PA,61195
7994663855,Thalia,Orneblow,3183490184,35775,Bay,Shreveport,LA,96219
7894839271,Virgina,Coules,3155826435,7,Southridge,Syracuse,NY,41568
7982948876,Alaine,Stockton,5101029190,24,Ramsey,Richmond,CA,84432
7011029163,Brandyn,Hyslop,2126070496,9,Dunning,New York City,NY,99309
7138651113,Jere,Stancliffe,5097424205,12,Carioca,Spokane,WA,27842
7938772227,Calvin,Pescott,5614792886,5334,Iowa,Lake Worth,FL,6222
7804911551,Marten,Favelle,9196172780,905,Chive,Raleigh,NC,74659
7877350085,Denys,Canceller,7171625890,04769,Sunbrook,Harrisburg,PA,17590
7958805474,Bellanca,Grellier,9154092063,0308,Rieder,El Paso,TX,72934
7437696349,Wald,Matousek,9547270909,1888,Nobel,Fort Lauderdale,FL,10788
7512173581,Shea,Vernazza,3101916570,2,Village,Inglewood,CA,9836
7428421222,Jackquelin,Purkess,8165289900,0780,Crownhardt,Kansas City,MO,76363
7503910083,Mersey,Sandercock,7144722542,945,Texas,Santa Ana,CA,14322
7649032108,Arlinda,Blackler,2028376028,805,Golden Leaf,Washington,DC,8590
7604535108,Darryl,Woolpert,2399570284,435,Logan,Fort Myers,FL,4535

7069627753,Mireielle,Meriott,8438635726,6421,Main,Charleston,SC,38127
7248077735,Randell,Bodicum,9166156368,5024,Nevada,Sacramento,CA,60452
7504670399,Tamarra,Stapells,8168829296,452,School,Kansas City,MO,93186
7455900616,Randene,Rennie,8621622419,9805,Blaine,Paterson,NJ,76274
7041629423,Grace,Gwillim,8048319858,86,Larry,Richmond,VA,19969
7547277137,Marvin,Yesenev,5038763094,76,Twin Pines,Beaverton,OR,15346
7676364377,Florrie,Bente,2482540516,34437,Bluejay,Farmington,MI,50285
7168258570,Roley,Drugan,8433736657,41644,Manitowish,Charleston,SC,94874
7149374969,Marlin,Truesdale,5404639605,7413,Bellgrove,Fredericksburg,VA,80789
7518569801,Cherye,Bartolomeo,9166110232,739,8th,Sacramento,CA,90898
7489290908,Cherye,Redmell,2027957420,37734,Macpherson,Washington,DC,87534
7226396321,Conny,Stutt,3137799481,4424,Hintze,Detroit,MI,52196
7235342434,Joaquin,Pulsford,4041224864,3,Wayridge,Atlanta,GA,23045
7553902001,Devina,Downham,4109209886,2,Declaration,Baltimore,MD,81839
7839122555,Lothaire,Stafford,5188857374,1,Pine View,Albany,NY,79460
7663293940,Ber,Dunstall,9122750840,1170,Warner,Savannah,GA,3900
7817466281,Stoddard,Veschambre,2109386501,64444,Lunder,San Antonio,TX,64336
7640846112,Karlene,Chin,8431025409,1,Hintze,Beaufort,SC,4102
7877384542,Ebenezer,Cucinotta,5408143514,9,Shelley,Roanoke,VA,62205
7786331124,Bartolemo,Sedgeworth,6019923427,498,Roxbury,Jackson,MS,34204
